City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
263,San Ramon De La Nueva Oran,AR,2021-04-08 00:00:46,-23.1322,-64.326,78.01,92,99,1.99
264,Zyryanovsk,KZ,2021-04-08 00:00:47,49.7386,84.2719,32.25,98,100,0.56
265,Sergeyevka,KZ,2021-04-08 00:00:47,53.88,67.4158,35.94,99,100,5.82
266,New Norfolk,AU,2021-04-08 00:00:48,-42.7826,147.0587,64.0,43,98,1.01
267,Okakarara,NA,2021-04-08 00:00:48,-20.5833,17.4333,63.18,71,16,6.08
268,Troitsko-Pechorsk,RU,2021-04-08 00:00:49,62.7084,56.1964,28.13,98,78,3.58
269,Gizo,SB,2021-04-08 00:00:49,-8.103,156.8419,80.22,83,100,19.08
270,Pudozh,RU,2021-04-08 00:00:50,61.8099,36.5345,37.83,97,100,8.46
271,Hibbing,US,2021-04-07 23:55:50,47.4272,-92.9377,46.0,87,90,10.36
272,Sakakah,SA,2021-04-08 00:00:51,29.9697,40.2064,77.0,15,36,6.91
273,Alexandria,EG,2021-04-08 00:00:51,31.2156,29.9553,60.8,88,40,6.91
274,Zomba,MW,2021-04-08 00:00:52,-15.386,35.3188,57.09,94,3,2.84
275,Coihaique,CL,2021-04-08 00:00:52,-45.5752,-72.0662,53.6,54,75,6.91
276,Norman Wells,CA,2021-04-08 00:00:52,65.282,-126.8329,10.4,52,40,11.5
277,Fortuna,US,2021-04-07 23:58:52,40.5982,-124.1573,54.0,71,90,12.66
278,Lagoa,PT,2021-04-08 00:00:53,39.05,-27.9833,59.11,91,34,23.73
279,Forbes,AU,2021-04-08 00:00:54,-33.3833,148.0167,73.53,50,2,2.73
280,Longhua,CN,2021-04-08 00:00:54,23.6137,114.1919,69.66,84,97,1.72
281,Oktyabrskiy,RU,2021-04-08 00:00:54,54.4815,53.471,33.49,99,100,3.38
282,Peshkovo,RU,2021-04-08 00:00:55,47.0187,39.3885,51.01,93,2,4.0
283,Grand Gaube,MU,2021-04-08 00:00:55,-20.0064,57.6608,80.01,79,100,5.99
284,Poum,NC,2021-04-08 00:00:56,-20.2333,164.0167,80.38,73,62,22.79
285,Oktyabrskoye,RU,2021-04-08 00:00:56,43.0645,44.7417,48.2,66,0,6.71
286,Kalmar,SE,2021-04-08 00:00:57,56.6616,16.3616,33.01,100,90,2.3
287,Ajaccio,FR,2021-04-08 00:00:40,42.0,8.9167,35.6,60,0,6.91
288,Vila Franca Do Campo,PT,2021-04-08 00:00:57,37.7167,-25.4333,60.8,82,75,19.57
289,Viedma,AR,2021-04-08 00:00:27,-40.8135,-62.9967,64.9,75,100,5.26
